T,mut_pct,evasion_type,threshold,fpr,tpr
100,5,evasion_dilute,49.11407366019857,0.0,0.033
100,5,evasion_dilute,48.51712641639125,0.0,0.11
100,5,evasion_dilute,47.920818753952375,0.0,0.124
100,5,evasion_dilute,47.32330639037513,0.0,0.131
100,5,evasion_dilute,46.72584215073632,0.0,0.145
100,5,evasion_dilute,46.13018179202067,0.0,0.258
100,5,evasion_dilute,45.53313237964589,0.0,0.275
100,5,evasion_dilute,44.935542010773084,0.0,0.289
100,5,evasion_dilute,44.34008379993015,0.0,0.299
100,5,evasion_dilute,43.74232142513082,0.0,0.442
100,5,evasion_dilute,43.14630178822382,0.0,0.458
100,5,evasion_dilute,42.54975089168064,0.0,0.472
100,5,evasion_dilute,41.95467702121334,0.0,0.494
100,5,evasion_dilute,41.356547323513816,0.0,0.617
100,5,evasion_dilute,40.7594507517174,0.0,0.641
100,5,evasion_dilute,40.16304326294045,0.0,0.657
100,5,evasion_dilute,39.5654310959658,0.0,0.68
100,5,evasion_dilute,38.97061622231479,0.0,0.775
100,5,evasion_dilute,38.37263414340727,0.0,0.787
100,5,evasion_dilute,37.77469071827414,0.0,0.803
100,5,evasion_dilute,37.1791420105603,0.0,0.815
100,5,evasion_dilute,36.58169870868026,0.0,0.878
100,5,evasion_dilute,35.98716277529483,0.0,0.886
100,5,evasion_dilute,35.38827669199266,0.0,0.895
100,5,evasion_dilute,34.79317412396815,0.0,0.908
100,5,evasion_dilute,34.195179321278836,0.0,0.952
100,5,evasion_dilute,33.598599459218455,0.0,0.957
100,5,evasion_dilute,33.0017406615763,0.0,0.961
100,5,evasion_dilute,32.40450377817442,0.0,0.965
100,5,evasion_dilute,31.80966830182971,0.0,0.979
100,5,evasion_dilute,31.211831628858832,0.0,0.982
100,5,evasion_dilute,30.614393726401687,0.0,0.987
100,5,evasion_dilute,30.018181392829337,0.0,0.989
100,5,evasion_dilute,29.421360790031926,0.0,0.995
100,5,evasion_dilute,28.82390874094432,0.0,0.996
100,5,evasion_dilute,27.630784142589857,0.0,0.997
100,5,evasion_dilute,27.034328028779893,0.0,0.999
100,5,evasion_dilute,24.647817481888637,0.0,1.0
100,5,evasion_dilute,4.357535479757878,0.001,1.0
100,5,evasion_dilute,3.1643094285075746,0.017,1.0
100,5,evasion_dilute,2.5228787452803374,0.078,1.0
100,5,evasion_dilute,1.958607314841775,0.243,1.0
100,5,evasion_dilute,1.3767507096020994,0.663,1.0
100,5,evasion_dilute,0.769551078621726,0.966,1.0
100,5,evasion_dilute,0.1804560644581313,1.0,1.0
100,5,evasion_dilute,-inf,1.0,1.0
150,0,evasion_pure,inf,0.0,0.0
150,0,evasion_pure,82.93554201077308,0.0,1.0
150,0,evasion_pure,4.164309428507575,0.001,1.0
150,0,evasion_pure,3.0,0.026,1.0
150,0,evasion_pure,2.3979400086720375,0.107,1.0
150,0,evasion_pure,1.7695510786217261,0.348,1.0
150,0,evasion_pure,1.1804560644581312,0.8,1.0
150,0,evasion_pure,0.585026652029182,0.992,1.0
150,0,evasion_pure,-0.0,1.0,1.0
150,0,evasion_pure,-inf,1.0,1.0
150,0,evasion_dilute,inf,0.0,0.0
150,0,evasion_dilute,82.93554201077308,0.0,1.0
150,0,evasion_dilute,4.164309428507575,0.001,1.0
150,0,evasion_dilute,3.0,0.026,1.0
150,0,evasion_dilute,2.3979400086720375,0.107,1.0
150,0,evasion_dilute,1.7695510786217261,0.348,1.0
